all_roi,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28
Background,7,0,0,11,0,1,0,1,11,0,8,25,8,38,2,1,8,3,13,10,12,14,6,14,0,22,25
SUPERIOR_PARIETAL_LOBULE,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CINGULATE_GYRUS,1,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,1,2,4,0,6,6,5,3,0,0,0
SUPERIOR_FRONTAL_GYRUS,2,0,0,1,0,0,0,3,2,2,1,3,4,10,1,1,0,10,2,2,3,3,4,0,0,0,0
MIDDLE_FRONTAL_GYRUS,5,0,0,9,3,2,1,9,14,5,2,4,9,13,3,2,8,12,13,0,21,22,2,0,1,0,0
INFERIOR_FRONTAL_GYRUS,6,3,3,2,1,0,6,0,3,7,1,2,1,3,3,0,4,6,11,0,2,1,7,0,2,3,3
PRECENTRAL_GYRUS,0,0,0,0,0,2,13,1,14,1,11,6,3,4,1,2,1,1,1,1,1,1,1,4,0,5,5
POSTCENTRAL_GYRUS,0,0,0,0,0,0,7,0,0,0,1,0,3,6,0,0,2,0,0,0,4,4,0,0,0,0,0
ANGULAR_GYRUS,0,0,0,1,3,5,0,3,4,2,6,1,0,0,0,4,7,0,0,2,0,0,0,4,0,0,0
PRE-CUNEUS,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
CUNEUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LINGUAL_GYRUS,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0
FUSIFORM_GYRUS,4,5,5,9,2,7,0,13,0,5,0,8,23,0,19,5,22,9,1,12,4,4,1,3,9,14,14
PARAHIPPOCAMPAL_GYRUS,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0
SUPERIOR_OCCIPITAL_GYRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFERIOR_OCCIPITAL_GYRUS,0,1,1,1,4,0,0,4,0,1,0,2,7,0,2,0,0,0,0,4,0,0,0,8,0,2,2
MIDDLE_OCCIPITAL_GYRUS,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0
ENTORHINAL_AREA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SUPERIOR_TEMPORAL_GYRUS,0,0,0,4,0,1,15,0,0,4,0,0,0,0,1,1,3,2,8,18,0,0,1,6,2,8,8
INFERIOR_TEMPORAL_GYRUS,3,4,4,9,0,4,1,7,0,6,0,6,12,0,8,0,14,7,1,7,6,6,4,5,14,8,9
MIDDLE_TEMPORAL_GYRUS,4,2,2,5,2,7,1,0,0,1,0,1,4,3,4,4,11,4,9,8,6,6,5,16,9,19,19
LATERAL_FRONTO-ORBITAL_GYRUS,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0,0,2,2,0,0,2,0,0
MIDDLE_FRONTO-ORBITAL_GYRUS,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
SUPRAMARGINAL_GYRUS,0,0,0,0,2,0,2,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0
GYRUS_RECTUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,0,0,0,0,0
INSULAR,3,1,1,0,1,1,4,0,4,5,4,2,4,3,1,3,4,0,6,1,0,0,2,2,7,3,3
AMYGDALA,0,0,1,0,0,0,4,0,0,0,0,0,1,0,2,2,2,3,3,2,1,1,3,3,0,3,3
HIPPOCAMPUS,8,3,4,1,0,4,5,3,0,1,0,0,7,4,5,1,8,6,4,12,7,7,5,7,5,8,8
CEREBELLUM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Corticospinal_tract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inferior_cerebellar_peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medial_lemniscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superior_cerebellar_peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
