all_roi,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28
Background,9,0,0,19,6,2,0,6,18,2,14,40,13,52,5,3,17,10,24,17,20,23,9,21,3,29,33
SUPERIOR_PARIETAL_LOBULE,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CINGULATE_GYRUS,1,0,0,0,0,1,0,0,0,0,1,6,6,1,1,0,1,5,5,0,5,5,6,5,0,0,0
SUPERIOR_FRONTAL_GYRUS,3,0,0,1,0,0,0,4,2,3,0,2,3,7,2,2,0,13,2,3,2,2,4,0,0,0,0
MIDDLE_FRONTAL_GYRUS,7,0,0,7,2,3,1,7,15,3,1,2,11,16,2,1,10,13,12,0,19,19,2,0,2,0,0
INFERIOR_FRONTAL_GYRUS,6,3,3,3,1,0,9,0,6,7,1,2,4,5,5,1,5,3,11,0,2,1,7,0,4,4,4
PRECENTRAL_GYRUS,1,0,0,0,0,2,11,0,10,1,10,5,4,3,2,5,2,1,2,1,2,2,3,3,0,5,5
POSTCENTRAL_GYRUS,0,0,0,0,0,0,10,0,0,0,0,1,3,4,0,0,1,0,0,0,3,3,0,0,0,0,0
ANGULAR_GYRUS,0,0,0,0,4,4,1,3,4,3,4,1,0,0,1,5,4,0,0,1,0,0,0,6,0,0,0
PRE-CUNEUS,0,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0
CUNEUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
LINGUAL_GYRUS,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
FUSIFORM_GYRUS,1,6,7,13,2,5,0,14,0,5,0,8,19,0,19,4,25,8,1,11,4,4,2,7,11,16,16
PARAHIPPOCAMPAL_GYRUS,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,2,2,0,0,2,0,0,0,0,0,0,0
SUPERIOR_OCCIPITAL_GYRUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFERIOR_OCCIPITAL_GYRUS,0,1,1,0,4,0,0,5,0,1,0,2,7,0,2,1,0,1,0,4,0,0,0,8,0,2,2
MIDDLE_OCCIPITAL_GYRUS,0,1,1,0,4,0,0,2,0,0,1,1,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0
ENTORHINAL_AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SUPERIOR_TEMPORAL_GYRUS,0,0,0,4,0,2,14,0,0,5,0,1,0,0,0,0,3,2,7,23,0,0,1,7,1,3,3
INFERIOR_TEMPORAL_GYRUS,4,5,5,9,0,4,3,9,0,5,0,5,19,0,9,1,12,7,2,12,8,8,6,3,19,14,14
MIDDLE_TEMPORAL_GYRUS,7,2,2,5,1,9,2,2,0,2,0,1,3,3,6,5,10,3,11,8,6,6,9,17,11,15,15
LATERAL_FRONTO-ORBITAL_GYRUS,0,0,0,2,0,0,0,2,1,2,0,0,0,0,1,2,1,3,0,0,1,1,0,0,2,0,0
MIDDLE_FRONTO-ORBITAL_GYRUS,1,2,2,0,1,0,0,1,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0
SUPRAMARGINAL_GYRUS,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,3,0,0,0,0
GYRUS_RECTUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,0,0
INSULAR,3,2,2,0,0,1,5,1,5,6,4,2,4,4,2,3,5,0,5,0,0,0,3,1,8,3,3
AMYGDALA,1,2,3,1,0,0,3,0,0,1,0,0,1,1,3,2,3,3,5,2,2,2,3,2,0,4,4
HIPPOCAMPUS,8,2,3,2,0,5,6,4,0,0,0,1,7,4,7,1,8,8,3,12,9,9,6,9,6,7,7
CEREBELLUM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Corticospinal_tract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inferior_cerebellar_peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medial_lemniscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superior_cerebellar_peduncle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerebral_peduncle,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Anterior_limb_of_internal_capsule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Posterior_limb_of_internal_capsule,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,4,0,0,0,0,0,0,0
Posterior_thalamic_radiation,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0
Anterior_corona_radiata,12,6,6,13,5,7,0,4,5,8,0,6,16,8,13,3,16,11,9,0,5,5,3,0,3,0,0
Superior_corona_radiata,3,3,3,0,0,0,0,3,1,6,2,4,6,0,6,2,1,10,3,6,3,3,3,0,0,0,0
